DATE,SCHOOL,LATLON,DEATHS
10/2/1942,"William J. Gaynor Junior High School, New York City, NY","40.71007649252686, -73.94385035810258",1
12/23/1948,"Ramapo, NY","41.1434021822308, -74.16822136426092",1
11/12/1949,"Ohio State University, Columbus, OH","40.00685307433776, -83.03041168696187",1
11/18/1949,"DuSable High School, Chicago, Illinois","41.80501552366908, -87.62464731758787",1
1/24/1951,"Western Military Academy, Alton, Illinois","38.901442746172705, -90.1689146253448",1
3/12/1951,"Alexander School, Union Mills, North Carolina","35.48322538849604, -81.94551244985138",2
11/27/1951,"St. Louis, Missouri","38.653016506560334, -90.23454596510064",1
4/8/1952,"Boarding School, Rabun Gap, Georgia","34.96074529971037, -83.39235848897083",1
7/14/1952,"Columbia University, New York City, NY","40.80777098075863, -73.96258343111418",1
10/2/1953,"Kelly High School, Chicago, Illinois","41.81844821194169, -87.69475161388574",1
3/31/1954,"Day Junior Hight School, Newton, Massachusetts","42.35798103087919, -71.21250975989716",1
5/15/1954,"University of North Carolina, Chapel Hill, North Carolina","35.90505991449968, -79.04693486010682",1
1/11/1955,"Swarthmore College, Swarthmore, Pennsylvania","39.90398963222077, -75.35264760179939",1
5/4/1956,"Maryland Park Junior High School, Seat Pleasant, Maryland","38.89082738683556, -76.90956493792372",1
5/1/1958,"Massapequa High School, Massapequa, NY","40.66814917557219, -73.4532842022831",1
9/24/1959,"Morris High School, NewYork City, NY","40.82746564580204, -73.90448824460611",1
2/2/1960,"William Reed Elementary School, Hartford City, Indiana","40.48752877407065, -85.37357271588691",3
3/30/1960,"Dubose Junior High School, Alice, Texas","27.760601532093837, -98.06827378916374",1
6/7/1960,"Blaine Elementary School, Blaine, Minnesota","46.174585499376356, -92.99243223178851",2
1/4/1961,"Delmont High School, Delmont, South Dakota","43.26891090582838, -98.16081606011065",1
10/17/1961,"Morey Junior High School, Denver, Colorado","39.73838628494137, -104.97714610416489",1
4/27/1966,"Bay Shore, NY","40.733365629622, -73.25131488552765",1
8/1/1966,"University of Texas, Austin, Texas","30.285168627124676, -97.73403524492146",18
10/5/1966,"Grand Rapids High School, Grand Rapids, Minnesota","47.24736765706838, -93.54241393088382",1
11/12/1966,"Rose-Mar College of Beauty, Mesa, Arizona","33.40312271179955, -111.87218092192148",5
5/3/1967,"West Leyden High School, Northlake, Illinois","41.92687148219365, -87.9054153734045",1
1/30/1968,"Miami Jackson High School, Miami, Florida","25.810946296873837, -80.22478892413406",1
3/25/1968,"Central High School, High Point, North Carolina","35.957219149793666, -80.02124371302943",1
1/17/1969,"Cardozo Senior High School, Washington DC.","38.92236401118884, -77.02847060419151",1
1/17/1969,"University of California, Los Angeles, LA, California","34.069125390205734, -118.44515964481778",2
5/13/1969,"Hanes Junior High School, Winston-Salem, North Carolina","36.13396259182149, -80.22118029022687",1
11/19/1969,"Tomah Junior High School, Tomah, Wisconsin","43.9810492216923, -90.50848951142238",1
1/5/1970,"Hine Junior High School, Washington D.C.","38.89305149186306, -76.97939751583412",1
2/11/1970,"University of Pennsylvania, Philadelphia, Pennsylvania","39.95248196334355, -75.19319224463533",2
4/15/1970,"Coleman High School, Pine Bluff, Arkansas","34.21639172182657, -92.05300868714176",1
4/23/1970,"PS duPont High School, Wilmington, Delaware","39.764395438297406, -75.53317312135817",1
2/2/1971,"Morris E.Leeds School, Philadephia, Pennsylvania","40.07665668783628, -75.17491297008857",1
11/11/1971,"Gonzaga University, Spokane Washington","47.66722056321347, -117.4013363710771",2
2/14/1972,"Chicago, Illinois","41.839529854453176, -87.6647119351008",1
5/4/1972,"Libby Booth Elementary School, Reno Nevada","39.521037368374806, -119.79464764650032",1
5/5/1972,"Decatur Central High School, Indianapolis, Indiana","39.687988140940995, -86.27684917347983",1
11/16/1972,"Southern Univesity, Baton Rouge, Louisiana ","30.52635340593421, -91.17838209131807",2
2/26/1973,"Amstrong High School, Richmond, Virginia","37.55230993651845, -77.40407457354853",1
11/6/1973,"School Board Meeting, Oakland, California","37.81667016700472, -122.27400965414083",1
01/171974,"Chicago, Illinois","41.81292310925033, -87.68805788234299",1
3/22/1974,"Brownstown Central High School, Brownstown Indiana","38.88617917194817, -86.04576574652106",1
12/30/1974,"Olean High School, Olean, NY","42.08279299783415, -78.43460794641408",3
2/18/1975,"Poughkeepsie, NY","41.703793391635806, -73.91661163306652",1
2/24/1975,"St. James School, Penns Grove, New Jersey","39.730822567205585, -75.47029257025896",1
3/18/1975,"St. Louis, Missouri","38.65945098826327, -90.24072577466475",1
9/11/1975,"Grant High School, Oklahoma City, Oklahoma","35.415048449106784, -97.54515998895731",1
2/19/1976,"Los Angeles Computer School, Los Angeles, CA","33.98941865312946, -118.3040069440438",1
7/12/1976,"California State University, Fullerton, CA","33.88264180023152, -117.88514337550981",7
4/7/1977,"Whitharral, Texas","33.73809349231549, -102.32667463778164",1
2/9/1978,"Hayes Junior High School, St. Albans, West Virginia","38.373755396546514, -81.84185975632836",1
2/22/1978,"Everett High School, Lansing Michigan","42.69337930512982, -84.55687556173622",1
4/26/1978,"Paul Dunbar Elementary School, Dallas Texas","32.77527755149597, -96.74925067924275",1
5/18/1978,"Murchison Junior High School, Austin, Texas","30.35408827921433, -97.75900035232304",1
1/29/1979,"Cleveland Elementary School, San Diego, CA","32.88307478802561, -117.14884871064751",2
1/7/1980,"Lafayette Country High School, Stamps, Arkansas","33.37014884190729, -93.48112781785267",1
3/20/1980,"J. Leslie Patton School, Dallas Texas","32.704344249170994, -96.82432537369219",1
3/26/1980,"Ferris State College, Big Rapids, Michigan","43.684155658921085, -85.48523241272513",1
10/31/1980,"Hueytown High School, Hueytown, Alabama","33.430573241584916, -87.03308137552263",1
1/27/1981,"University of Arkansas, Fayetteville, Arkansas","36.068914958126605, -94.17478272941517",1
4/17/1981,"University of Michigan, Ann Arbor, Michigan","42.27821821818576, -83.73821337339233",2
12/16/1981,"University of Portland, Portland, OR","45.57345241374327, -122.72753901560297",2
3/19/1982,"Valley High School, Las Vegas, Nevada","36.14375442146347, -115.11907580437821",1
4/5/1982,"Garland Community College, Hot Springs, Arkansas","34.51246603178549, -93.1188399012352",2
4/7/1981,"Deer Creek Junior High School, Littleton, Colorado","39.58652250840471, -105.10236959808067",1
11/12/1982,"Wingfield High School, Jackson Mississppi","32.280617376130614, -90.24175367370394",2
1/20/1982,"Parkway South Middle School, St. Louis County, Missouri","38.610742852146906, -90.50783085948575",2
5/16/1982,"Lake Highlands High School, Dallas Texas","32.88783194396944, -96.7270307332096",1
5/16/1983,"Brentwood East Junior High School, Brentwood, NY","40.78323603268021, -73.23556018679264",1
11/8/1983,"Highland Park High School, Highland Park, Michigan","43.79005004148832, -83.19993739300601",1
11/18/1983,"Harlem Park Junior High School, Baltimore Maryland","39.30433793571158, -76.64271811242614",1
2/24/1984,"49th Street Elementary School, LA, CA","33.99872108088573, -118.26178477365563",3
4/20/1984,"Precious Blood School, Detroit Michigan","42.41785778976107, -83.17772220410657",1
5/17/1984,"Southeast Polk High School, Pleasant Hill, Iowa","41.59868533413818, -93.44603413584315",2
1/21/1985,"Goddard Junior High School, Goddard Kansas","37.65516694974482, -97.57616753735873",1
11/26/1985,"Spanaway Junior High School, Spanaway WA","47.115802801613555, -122.428617724263",3
12/3/1985,"Concord High School, Concord New Hampshire","43.20064774385113, -71.55117500219592",1
12/10/1985,"Portland Junior High School, Portland Connecticut","41.58061236575665, -72.62253270410302",1
4/29/1986,"Senath-Hornersville High School, Senath Missouri","36.12754358994134, -90.16248947174172",1
5/16/1986,"Cokeville Elementary School, Cokeville Wyoming","42.0870871578331, -110.95434981202571",2
12/4/1986,"Fergus High School, Lewistown Montana","47.05377267692094, -109.42381690020449",1
2/4/1987,"California State University, Northridge","34.2412317047145, -118.52765304481277",2
2/13/1987,"Orme School, Mayer, Arizona","34.43323180752481, -112.0635519889863",1
3/2/1987,"De Kalb, Missouri","39.586466288516256, -94.92858703403977",2
3/9/1987,"Compton Unified School District, Compton CA","33.90022649631175, -118.24086321058725",1
4/16/1987,"Murray-Wright High School, Detroit Michigan","42.349638190970765, -83.08375236174825",1
10/14/1987,"DuSable High School, Chicago Illinois","41.80504751351552, -87.62461513108036",1
2/11/1988,"Pinellas Park High, Largo Florida","27.88098770210005, -82.72388710265339",1
5/20/1988,"Hubbard Woods School, Winnetka, Illinois","42.11470240384133, -87.74568728689053",2
8/31/1988,"West Franklin Street Elementary, Anderson, South Carolina","34.5056752476394, -82.66556474655653",1
9/22/1988,"Moses Montefiore Academy, Chicago Illinois","41.865092408514, -87.66657691573495",5
9/26/1988,"Oakland Elementary School, Greenwood , South Carolina","34.22884752138418, -82.14142908557271",2
10/9/1988,"Sacramento High School, Sacramento, CA","38.55620076814386, -121.46663145817331",1
12/16/1988,"Atlantic Shores Christian School, Virginia Beach, Virginia","36.76062405886698, -76.18467316748401",1
1/17/1989,"Cleveland Elementary School, Stockton, CA","37.98288516758613, -121.30136038887824",6
9/19/1989,"Farrington High School, Honolulu, HI","21.330819269383458, -157.87335911813716",1
12/5/1989,"Serra Catholic High School, McKeesport Pennsylvania","40.32590934708896, -79.82417078695124",1
5/15/1990,"Montana State Uninversity Bozeman, Montana","45.668079517212405, -111.05481485182007",2
8/26/1990,"Eldorado High, Las Vegas, Nevada","36.18031437860075, -115.04957929098165",1
4/23/1991,"Ralph J. Bunche Middle School, Compton CA","33.92075986494607, -118.22800633338312",1
9/18/1991,"Crosby High, Crosby Texas","29.89610351221325, -95.06900113165135",1
11/1/1991,"University of Iowa, Iowa City, Iowa","41.662819991870556, -91.55494491591789",6
11/25/1991,"Thomas Jefferson High, Brooklyn NY","40.667206540876336, -73.89475670061087",1
2/26/1992,"Thomas Jefferson High, Brooklyn NY","40.667206540876336, -73.89475670061087",2
3/9/1992,"Carter MacRae Elementary, Lancaster Pennsylvania","40.034232707107705, -76.30602165089677",1
3/31/1992,"O. Perry Walker Hight, New Orleans, Louisiana","29.94372837299561, -90.02711972803026",1
4/23/1992,"Indiana University, Bloomington, Indiana","39.17569819369824, -86.51260554484537",3
5/1/1992,"Lindhurst High, Olivehurst, CA","39.08382554742837, -121.53772473135678",4
11/20/1992,"Tilden High School, Chicago Illinois","41.807703516185214, -87.64234197358452",1
12/14/1992,"Bard College at Simon's Rock, Great Barrington, Massachusetts","42.2081031304488, -73.37824873124148",2
1/18/1993,"East Carter High, Grayson, Kentucky","38.3248958685301, -82.93327073931853",2
2/22/1993,"Reseda High, LA, CA","34.19299395341601, -118.52969286188525",1
4/15/1993,"Ford Middle School, Acushnet, Massachusetts","41.72345419333813, -70.90516987544005",1
5/14/1993,"Nimitz High, Irving TX","32.79249881954032, -96.94643394691018",1
5/24/1993,"Upper Perkiomen High, Pennsburg, Pennsylvania","40.38208317747325, -75.48994039115695",1
5/27/1993,"Frederick A. Douglass High, New Orleans, Louisiana","29.96601492630335, -90.03690086048539",1
7/13/1993,"Weber State University, Ogden Utah","41.191863559384906, -111.94409450244373",1
9/17/1993,"Hinsdale South High, Darien Illinois","41.75390576385384, -87.95271600057029",1
9/17/1993,"Central Junior High, Sheridan, Wyoming","44.803311968878404, -106.96422127850445",1
11/4/1993,"New Britain High, New Britain, Connecticut","41.65018433133682, -72.77801517359052",1
12/1/1993,"Wauwatosa West High, Wauwatosa Wisconsin","43.06853311123949, -88.05539835819214",1
12/17/1993,"Chelsea High, Chelsea Michigan","42.31165929687084, -84.00249081589331",1
1/24/1994,"Eau Claire High, Columbia, South Carolina","34.04839457748894, -81.04262636036285",1
1/31/1994,"Whitman Middle School, Seattle, WA","47.69679795429665, -122.37770847334976",1
2/7/1994,"Cypress Lake Middle School, Fort Myers, Florida","26.545113714225934, -81.90187918941325",2
2/8/1994,"Osborn High, Detroit Michigan","42.434228103531005, -83.00270241588863",1
2/14/1994,"Carlmont High, Belmont, CA","37.504827603050636, -122.2881585853796",1
3/1/1994,"Kemper Military School and College, Boonville, Missouri ","38.97173232735492, -92.74628158718056",2
3/15/1994,"Goose Creek High, Charleston, S. Carolina","32.97419599401199, -80.01752260087197",1
3/23/1994,"Ballard High, Seattle WA","47.67684487557838, -122.37536804451443",1
4/12/1994,"Margaret Leary Elementary School, Butte, Montana","45.961175046601106, -112.52152048876556",1
4/19/1994,"Eliot Junior High, Washington DC.","38.89307654313831, -76.97938678718336",1
4/21/1994,"J.T. Moore Middle School, Nashville, Tennessee","36.0956957119435, -86.80255837564032",1
4/21/1994,"North Miami High, North Miami, FL","25.899473157729755, -80.18419091536178",1
7/21/1994,"Ardmore Childcare Center, Ardmore , Pennsylvania","40.0100365477069, -75.29543803913188",1
7/24/1994,"Manchester Elementary School,Manchester, Pennsylvania","40.45682440917596, -80.0269726585667",1
7/25/1994,"Ottumwa High, Ottumwa, Iowa","41.04905965840371, -92.40147208893795",1
10/12/1994,"Grimsley High, Greensboro, N. Carolina","36.08280855252879, -79.81449527564075",1
11/7/1994,"Wickliffe Middle School, Wickliffe, Ohio","41.60542256002832, -81.47392987359217",1
1/6/1995,"Cardozo High, Washington DC","38.922422440152694, -77.02838477369045",1
8/29/1995,"Memorial Middle School, Laredo, Texas","27.513412415254233, -99.49497870288012",1
9/12/1995,"Cypress Junior High, Memphis Tennessee","35.167359655577705, -89.98801050450703",1
9/14/1995,"Olathe North High, Olathe, Kansas","38.88770845475884, -94.80824631601959",2
9/29/1995,"Tavares Middle School, Tavares Florida","28.77066810125979, -81.74108581633836",1
10/12/1995,"Blackville-Hilda High, Blackville, S. Carolina","33.364584320204116, -81.26359292969593",2
10/15/1995,"Richland High, Lynnville Tennessee","35.3374895276595, -87.0319039314852",2
1/19/1996,"Winston Education Center, Washington DC","38.85775709035115, -76.96300076020093",1
2/2/1996,"Frontier Middle School, Moses Lake, WA","47.12674787678647, -119.28313735009439",3
2/29/1996,"Beaumont High, St. Louis, Missouri","38.66315998885301, -90.22163833745424",2
8/15/1996,"San Diego State University, San Diego, CA","32.777768495570875, -117.07145108661399",3
9/17/1996,"Penn State University, State College, Pennsylvania","40.798440691872166, -77.8598762159502",1
9/25/1996,"Dekalb Alternative School, Decatur, Georgia","33.79891782480424, -84.19814580455096",1
10/2/1996,"Smedley Elementary School, Philadelphia, Pennsylvania","40.01989258887716, -75.07403106015907",2
10/4/1996,"St. Bernard High School, Playa del Rey, California","33.95444127005925, -118.43280224502158",1
10/9/1996,"Jacksonville Middle School, Sherwood, Arkansas","34.88761654842671, -92.15868833286243",1
10/11/1996,"Sumner High School, St. Louis, Missouri","38.65985344718193, -90.23896611788004",1
10/16/1996,"Purdue University, West Lafayette, Indiana","40.42389323246321, -86.92120533130819",2
11/27/1996,"Highlands High School, Sacramento, California","38.68745269667301, -121.35919858904305",1
1/11/1997,"Crown Heights High School, New York City, New York","40.67135067260119, -73.9612995237131",1
1/27/1997,"Conniston Middle School, West Palm Beach, Florida","26.6784928895063, -80.06172171639352",1
2/19/1997,"Bethel Regional High, Bethel Alaska","60.80277230002023, -161.7706496206332",2
3/17/1997,"Pershing High School, Detroit, Michigan","42.43220725388082, -83.06379677593864",1
10/1/1997,"Pearl High, Pearl Mississippi","32.270652214857165, -90.09337684322138",3
12/1/1997,"Heath Middle, West Paducah, Kentucky","37.07927322509517, -88.79440608334829",3
3/24/1998,"Westside Middle School, Craighead County, Arkansas","35.85743189983472, -90.80583143146802",5
4/24/1998,"Parker Middle School, Edinboro, Pennsylvania","41.915409769009706, -80.12101344289209",1
5/19/1998,"Lincoln County High, Fayetteville, Tennessee","35.13539885206426, -86.56839978916386",1
5/21/1998,"Thurston High, Springfield, OR","44.04888368287905, -122.92511681767824",4
12/10/1998,"Wayne State University, Detroit Michigan","42.35932904896027, -83.0665462023996",1
1/8/1999,"Central Carroll High, Carrollton, Georgia","33.55234949365621, -85.0682865315424",2
4/20/1999,"Columbine High, Littleton Colorado","39.60423573743067, -105.073242173666",15
11/19/1999,"Deming Middle School, New Mexico","32.24603254510075, -107.78192383317692",1
2/29/2000,"Buell Elementary, Mt. Morris Township, Michigan","43.12786968036493, -83.70070427577917",1
5/26/2000,"Lake Worth Middle School, Lake Worth, Florida","26.633770339713767, -80.0707605443315",1
6/28/2000,"UW Medical Center, Seattle WA","47.649165171359755, -122.30615448869598",2
8/28/2000,"U of Arkansas, Fayetteville, Arkansas","36.06894097468208, -94.17487928913306",2
3/5/2001,"Santana High, Santee, CA","32.85750206812291, -116.96919636040008",2
5/16/2001,"Pacific Lutheran U, Parkland, WA","47.145331724552726, -122.44363471570058",2
3/30/2001,"Lew Wallace High, Gary, Indiana","41.53632723795029, -87.3422745735947",1
1/16/2002,"Appalachian School of Law, Grundy, Virginia","37.27826380431332, -82.09649066025611",3
2/20/2002,"Washington High, Milwaukee, Wisconsin","43.06946978499556, -87.96837642673249",1
10/28/2002,"University of Arizona, Tucson, Arizona","32.23205751509088, -110.9501415892551",4
4/14/2003,"John McDonogh High, New Orleans, Louisiana","29.974669545649228, -90.0764307932541",1
4/24/2003,"Red Lion Area Junior High, Red Lion, Pennsylvania","39.892692630113196, -76.60833388567856",2
5/9/2003,"Case Western Reserve University, Cleveland, Ohio","41.50455018580683, -81.60848036195645",1
9/24/2003,"Rocori High, Cold Spring, Minnesota","45.464455949780984, -94.42818328745884",2
2/2/2004,"Ballou High, Washington DC.","38.84101359719897, -77.0012580539806",1
3/2/2005,"Stewart County High, Dover, Tennessee","36.53163822423046, -87.81433664493731",1
3/21/2005,"Red Lake Senior High, Red Lake, Minnesota","47.87872769221758, -95.01481971752231",10
7/18/2005,"Weequahic High, Newark, New Jersey","40.709374496733204, -74.22038616013378",1
11/8/2005,"Campbell County High, Jacksboro, Tennessee","36.351179723088705, -84.14775781610732",1
8/24/2006,"Essex  Elementary School, Essex Junction, Vermont","44.51318119537444, -73.0556706311518",2
8/30/2006,"Orange High, Hillsborough, North Carolina","36.09291818041397, -79.09412167378805",1
9/2/2006,"Shepherd  University, Shepherdstown, W. Virginia","39.43396626340707, -77.80454054668843",3
9/27/2006,"Platte Canyon High, Bailey, Colorado","39.421396732179836, -105.53504596283446",2
9/29/2006,"Weston High, Cazenovia, Wisconsin","43.48038742797951, -90.19095674468429",1
10/2/2006,"West Nickel Mines School, Nickel Mines, Pennsylvania","39.96048165288096, -76.08044918395342",6
1/3/2007,"Henry Foss High, Tacoma, WA","47.239744998990616, -122.49630217336876",1
4/16/2007,"Virginia Tech, Blacksburg, Virginia","37.22858075986463, -80.42348107560196",33
9/21/2007,"Delaware State University, Dover, Delaware","39.186361708169066, -75.54237006204151",1
10/10/2007,"Success Tech Alternative High, Cleveland, OH","41.50400124777618, -81.69483298708785",1
2/8/2008,"Louisiana Tech College, Baton Rouge, Louisiana","30.44827457629858, -91.13769292329658",3
2/12/2008,"E.O. Green Junior High, Oxnard, CA","34.165535811710164, -119.18150445480204",1
2/14/2008,"Northern Illinois University, DeKalb, Illinois","41.93440856778218, -88.7740690024158",6
8/14/2008,"Lakota Middle School, Federal Way, WA","47.31956546949119, -122.3545599998236",1
8/21/2008,"Central High, Knoxville, Tennessee","36.041224087976, -83.92480632960954",1
10/16/2008,"Henry Ford High, Detroit, Michigan","42.43981896952367, -83.23768934657683",1
10/26/2008,"Universty of Central Arkansas, Conway, AR","35.07829582348997, -92.45781650080524",2
11/12/2008,"Dillard High, Fort Lauderdale, FL","26.13989107118084, -80.17588924524318",1
5/18/2009,"Harvard College, Cambridge Massachusetts","42.37510615552907, -71.1182626220923",1
5/18/2009,"Larose-Cut Off Middle School, Larose, LA","29.563064055060767, -90.36471327028393",1
2/5/2010,"Discovery Middle School, Madison, Alabama","34.74133170289195, -86.74214464499644",1
9/28/2010,"University of Texas, Austin, TX","30.286068431892964, -97.73400007343379",1
10/1/2010,"Alisal High, Salinas, CA","36.6844659766084, -121.60074528726007",1
11/29/2010,"Marinette High, Marinette, WI","45.08224074101807, -87.63035030229301",1
1/5/2011,"Millard South High, Omaha, NE","41.20411605225333, -96.14617101593515",2
3/31/2011,"Worthing High, Houston, TX","29.657405982947655, -95.36649588747783",1
12/8/2011,"Radford University, Blacksburg, VA","37.139695880519284, -80.55103592957245",2
2/27/2012,"Chardon High, Chardon OH","41.59124112496067, -81.20073540064456",3
4/2/2012,"Oikos University, Oakland, CA","37.742428181135004, -122.19984483325638",7
10/19/2012,"Banner Academy South, Chicago, Illinois","41.89605876224565, -87.75430987543356",1
12/14/2012,"Sandy Hook Elementary School, Newtown, CT","41.42032301874525, -73.27750699079566",28
1/15/2013,"Hazard Community and Tech College, Hazard, KY","37.233322610523174, -83.17530893512622",3
1/16/2013,"Chicago State University, Chicago, IL","41.7147887060882, -87.61327807358805",1
3/18/2013,"University of Central FL, Orlando, FL","28.613677354789512, -81.20025983620847",1
6/7/2013,"Santa Monica College, Santa Monica, CA","34.0167702092278, -118.47036261618358",6
8/23/2013,"North Panola High, Sardis, MS","34.4438572953399, -89.92481046166694",1
10/21/2013,"Sparks Middle School, Sparks, NV","39.552130310672744, -119.76805273927475",2
12/13/2013,"Arapahoe High, Centennial. CO","39.58179906392052, -104.96281886017495",2
1/21/2014,"Purdue University, West Lafayette, IN","40.423983075112645, -86.92113022945584",1
1/24/2014,"South Carolina State University, Orangeburg, S.C","33.498672356420684, -80.84983306038012",1
1/25/2014,"Los Angeles Valley College,Van Nuys, CA","34.17540655709014, -118.41908227385056",1
4/11/2014,"East English Village Preparatory Academy, Detroit, MI","42.40828437463428, -82.92906403123384",1
6/5/2014,"Seattle Pacific University, Seattle, WA","47.64932058484286, -122.3618276262549",1
6/10/2014,"Reynolds High, Troutdale, OR","45.52869896584455, -122.40530534460294",2
10/3/2014,"Langston Hughes High, Fairburn GA","33.6167197753502, -84.63359474836034",1
10/24/2014,"Marysville Pilchuck High, Marysville WA","48.096652332774774, -122.15448777590535",5
11/20/2014,"Florida State University, Tallahassee, FL","30.449479743738483, -84.2975258191247",1
11/20/2014,"Miami Carol City High, Miami, FL","25.941159279690186, -80.25713667593658",1
2/14/2015,"Tenaya Middle School, Merced, CA","37.29287433890083, -120.49276761897859",1
4/13/2015,"Wayne Community College, Goldsboro, NC","35.40332576071365, -77.94536361613885",1
8/27/2015,"Savannah State University, Savannah, GA","32.03005877456686, -81.06103871626594",1
9/3/2015,"Sacramento City College, Sacramento, CA","38.54115684680295, -121.48808516021218",1
10/1/2015,"Umpqua Community College, Roseburg, OR","43.28977188251745, -123.33323637352773",10
10/9/2015,"Northern Arizona University, Flagstaff, AZ","35.180703253518885, -111.65404340450658",1
10/9/2015,"Texas Southern University, Houston TX","29.721644999668765, -95.35926910282018",1
10/22/2015,"Tennessee State University, Nashville, TN","36.168578149504555, -86.8257922296053",1
11/1/2015,"Winston-Salem State University, Winston-Salem NC","36.09001751786011, -80.22506506029636",1
11/20/2015,"Mojave High, North Las Vegas, NV","36.25567292146416, -115.13808983145475",1
2/12/2016,"Independence High, Glendale, AZ","33.5327336754103, -112.22239540878938",2
4/23/2016,"Antigo High, Antigo, WI","45.13464586393113, -89.17527416577988",1
6/1/2016,"UCLA, LA, CA","34.0691253901105, -118.44520256036218",3
6/8/2016,"Jeremiah Burke High, Dorchester, MA","42.30732376843979, -71.08117283123771",1
9/9/2016,"Alpine High, Alpine, TX","30.37280380244955, -103.66588368893912",1
9/28/2016,"Townville Elementary, Townville, SC","34.56357243021349, -82.90303416034634",2
1/27/2017,"Scullen Middle School, Naperville, IL","41.696485366216365, -88.21149809448998",1
4/10/2017,"North Park Ele. San Bernardino, CA","34.179473896094144, -117.30116879898178",3
5/4/2017,"North Lake College, Irving, TX","32.871414824172156, -96.96727071621933",2
